Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://download.gimp.org/glib/2.10/	200	ok	text/html	4405	Index of /glib/2.10/		2	25	4	nginx/1.20.1		00:00.110	utf-8	
https://download.gimp.org/glib/2.11/	200	ok	text/html	5009	Index of /glib/2.11/		2	28	2	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/glib/2.12/	200	ok	text/html	12016	Index of /glib/2.12/		2	66	4	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/glib/2.13/	200	ok	text/html	4293	Index of /glib/2.13/		2	24	2	nginx/1.20.1		00:00.148	utf-8	
https://download.gimp.org/glib/2.14/	200	ok	text/html	5885	Index of /glib/2.14/		2	33	4	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/glib/2.15/	200	ok	text/html	6489	Index of /glib/2.15/		2	36	2	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/glib/2.16/	200	ok	text/html	6489	Index of /glib/2.16/		2	36	2	nginx/1.20.1		00:00.116	utf-8	
https://download.gimp.org/glib/2.17/	200	ok	text/html	7229	Index of /glib/2.17/		2	40	2	nginx/1.20.1		00:00.130	utf-8	
https://download.gimp.org/glib/2.18/	200	ok	text/html	5009	Index of /glib/2.18/		2	28	2	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/glib/2.19/	200	ok	text/html	9464	Index of /glib/2.19/		2	52	2	nginx/1.20.1		00:00.163	utf-8	
https://download.gimp.org/glib/2.20/	200	ok	text/html	7674	Index of /glib/2.20/		2	42	2	nginx/1.20.1		00:00.126	utf-8	
https://download.gimp.org/glib/2.21/	200	ok	text/html	9184	Index of /glib/2.21/		2	50	2	nginx/1.20.1		00:00.107	utf-8	
https://download.gimp.org/glib/2.22/	200	ok	text/html	6356	Index of /glib/2.22/		2	35	2	nginx/1.20.1		00:00.189	utf-8	
https://download.gimp.org/glib/2.23/	200	ok	text/html	8028	Index of /glib/2.23/		2	44	2	nginx/1.20.1		00:00.198	utf-8	
https://download.gimp.org/glib/2.24/	200	ok	text/html	2403	Index of /glib/2.24/		2	14	2	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/glib/2.25/	200	ok	text/html	7903	Index of /glib/2.25/		2	44	2	nginx/1.20.1		00:00.150	utf-8	
https://download.gimp.org/glib/2.26/	200	ok	text/html	2403	Index of /glib/2.26/		2	14	2	nginx/1.20.1		00:00.119	utf-8	
https://download.gimp.org/glib/2.27/	200	ok	text/html	5715	Index of /glib/2.27/		2	32	2	nginx/1.20.1		00:00.144	utf-8	
https://download.gimp.org/glib/2.28/	200	ok	text/html	5688	Index of /glib/2.28/		2	32	2	nginx/1.20.1		00:00.116	utf-8	
https://download.gimp.org/glib/2.29/	200	ok	text/html	4624	Index of /glib/2.29/		2	26	2	nginx/1.20.1		00:00.118	utf-8	
https://download.gimp.org/glib/2.30/	200	ok	text/html	3314	Index of /glib/2.30/		2	19	2	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/glib/2.31/	200	ok	text/html	4271	Index of /glib/2.31/		2	24	2	nginx/1.20.1		00:00.105	utf-8	
https://download.gimp.org/glib/2.32/	200	ok	text/html	2037	Index of /glib/2.32/		2	12	2	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/glib/2.34/	200	ok	text/html	1694	Index of /glib/2.34/		2	10	2	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/glib/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.108	utf-8	
https://download.gimp.org/gtk/?C=N&O=A	200	ok	text/html	8558	Index of /gtk/		2	62	7	nginx/1.20.1		00:00.121	utf-8	
https://download.gimp.org/gtk/2.11/	200	ok	text/html	2819	Index of /gtk/2.11/		2	16	2	nginx/1.20.1		00:00.100	utf-8	
https://download.gimp.org/gtk/2.12/	200	ok	text/html	9980	Index of /gtk/2.12/		2	54	2	nginx/1.20.1		00:00.135	utf-8	
